ID,X,Y
acwiki           ,-0.386655169,0.310887087
acx100           ,-0.124979748,0.129287977
acxp             ,-0.478094863,0.25593921
ad-hoc-networks  ,0.653060865,-0.10274943
ad1000           ,-0.445432169,-0.181500739
ada-gerbil       ,-0.386256413,0.371266995
adacl            ,-0.801680535,-0.347112824
adafrom          ,-0.190677877,0.140367097
adagio           ,0.796821578,0.515526413
adai             ,-0.674303819,0.294703782
adaimgsvr        ,-0.811849333,-0.34078847
adaopengl        ,-0.319707321,-0.225365519
adaparse         ,-0.477373768,-0.443427415
adapdev          ,-0.448385285,0.584634995
adapt            ,0.103363907,0.384941612
adaptagrams      ,-0.064193283,-0.008483625
adasdl           ,-0.196493084,0.133896114
adasl            ,-0.165068414,-0.403874127
adb              ,0.620442717,-0.069852313
add              ,-0.149823223,-0.08408375
addicted         ,-0.438951497,-0.340090102
addictive        ,0.692276609,-0.166426728
addon            ,-0.61538503,-0.201850841
address550       ,0.545995407,0.422598641
adduser          ,0.332631052,-0.058555593
adebug           ,0.326358613,0.165492974
adecisiontabgen  ,0.476448406,0.831425761
adept            ,-0.164219547,-0.044817589
adesklets        ,0.007366914,-0.276547453
adesktop         ,-0.013855927,0.788347933
adfopus          ,0.809483778,0.511984817
adftools         ,-0.223265684,0.570589988
adgen            ,-0.353903812,-0.000904444
adi              ,0.228152975,0.236243748
adialer          ,-0.542170106,-0.507777424
adif             ,-0.17088109,0.737119114
adime            ,-0.418802457,-0.443531905
adit             ,0.398007866,0.159814047
adium            ,-0.271187436,0.114281417
adjective        ,0.292988919,-0.352713213
adjustimg        ,0.07123684,-0.322856171
adlook           ,0.822686748,-0.035946722
admachine        ,0.484841703,-0.000737895
admanager        ,-0.373642948,0.551501081
admctrl          ,-0.125141465,-0.228023282
admin-online     ,0.532898734,-0.336559713
admina           ,0.220151974,0.307162378
admixor          ,0.434175494,-0.385672528
admpanel         ,0.009221237,-0.385722718
adms             ,-0.279757465,-0.38529749
adn              ,-0.15690718,-0.706283243
adnetcamview     ,-0.138089863,-0.852029502
adns             ,0.352249525,-0.769368558
adobe-source     ,-0.092590284,0.146761022
adodb-xmlschema  ,-0.035910735,-0.287161839
adodbapi         ,-0.007415076,0.587256393
adodotnetsqlite  ,-0.595857419,-0.10976086
adolpy           ,-0.236123423,0.09526558
adplug           ,0.307992754,0.268694096
adq              ,-0.074763007,0.103433142
adr              ,0.257277063,-0.34080533
adrem3d          ,0.256638024,-0.330725801
adsl4linux       ,0.221539218,-0.475281413
adspsim          ,-0.059983958,-0.045295521
adtalgorlibrary  ,0.473071693,-0.359098768
adtl             ,0.119969774,-0.321719287
adtool           ,-0.125013818,0.12520378
adtools          ,-0.747325402,0.038317364
adulator         ,-0.229905604,0.810121619
adum             ,-0.320980111,0.204514416
adump            ,-0.03404826,-0.03280518
aduna-build      ,0.208312266,0.182283887
adv-net-forums   ,0.09725356,-0.329717118
adv-random-gen   ,0.555072487,-0.563264733
advanced-ado     ,0.705408697,0.024891954
advanced-remote  ,0.718623241,0.031583927
advancedbb2002   ,0.437621644,-0.276537641
advanceserv      ,0.601492788,-0.132343474
advcad           ,-0.628464244,0.100429351
advgame          ,0.673655653,-0.039268107
adytum           ,0.574389048,-0.756302282
aed              ,-0.314778778,-0.526777698
aedgui           ,-0.323033803,-0.007647346
aedlogin         ,-0.30812821,0.053531275
aegis            ,-0.434480872,0.801231805
aegiswm          ,0.72493965,-0.073052334
aeneas           ,-0.007400406,0.918738681
aeon-linux       ,0.110674172,0.020075908
aeon-star        ,-0.256006069,0.044171022
aeongdk          ,-0.341672692,-0.454718195
aerials-vs-xcom  ,0.639839887,-0.394592171
aero             ,0.603543888,-0.092744873
aeromys          ,0.443771896,0.734806436
aerth-mud        ,-0.270728845,-0.699943032
aescrypt         ,0.632945494,0.329937208
aesop            ,0.175399141,-0.494831005
aesop-embedded   ,0.744637808,-0.344780644
aeternis         ,0.853970902,0.316800774
aether           ,0.610514152,-0.082584357
aetos            ,0.000675633,-0.135539028
aexdev           ,-0.909334152,0.411998131
afa-scumm        ,-0.432426782,-0.463439062
afames           ,0.221515649,0.549592661
afbackup         ,0.352112897,0.808195628
afbackup-webmin  ,0.352442218,0.820309162
afc              ,-0.595740295,-0.61182615
affix            ,-0.124972889,-0.153719792
affy             ,-0.000904211,0.185376078
afick            ,0.812158351,0.37913594
afp              ,-0.699155487,0.220856597
afrikaans        ,0.158447473,0.088291027
aft              ,-0.235470193,0.482526649
aftensolkongen   ,-0.798461649,-0.122966363
afterircd        ,-0.255767808,-0.730408905
aftermaze        ,-0.793819379,0.206775228
aftershock       ,0.407035189,0.665261494
afterstep        ,-0.032779672,-0.059928117
afterthought     ,0.226808654,0.715711168
aftp             ,-0.726619477,-0.302287643
afupdevphp       ,-0.293491979,0.345823684
afw              ,0.125775852,0.088949938
ag-cling         ,-0.471816064,0.400213727
agartha          ,-0.216568177,-0.16503914
agatha           ,0.46684986,0.069868966
agatha-pbr       ,-0.072928452,0.467631187
agcd             ,0.029727486,-0.154865815
agcs             ,0.557667499,-0.378839918
ageless          ,-0.143539024,0.576439856
agenda           ,-0.206611265,-0.062540651
agenda-distro    ,-0.206975827,-0.066241123
agenda-snow      ,-0.201106249,-0.068543835
agendahelp       ,-0.484814418,0.012282648
agendaware       ,0.683597337,0.127486088
agent-sg         ,-0.576761835,-0.340009568
agentacademy     ,-0.345273249,-0.725145454
agentbeats       ,0.313369437,-0.597309055
agentcell        ,-0.184533037,0.650068616
agentcities      ,-0.378530885,0.525322524
agentools        ,-0.203492941,0.660438074
agentspace       ,-0.131576357,0.48021818
agenziaviaggi    ,-0.15620292,0.494047943
ageofreedom      ,0.288093622,-0.402182909
ageoftux         ,-0.327873256,-0.539224328
agere            ,0.34081285,-0.16392526
aggie            ,0.305788968,0.300830463
aggregate        ,-0.175212694,-0.273015964
aggregator2      ,-0.072700654,-0.07386407
aggro            ,0.239765782,0.676654953
agi              ,-0.159381577,-0.116376219
agile2d          ,-0.8782399,-0.087599792
agiledbtools     ,0.267311778,0.370313592
agiledox         ,0.143606129,0.543701241
agiletoolkit     ,0.114585845,0.262207698
agilia           ,0.137948709,0.540818007
agilis           ,0.116950839,0.609327399
agility          ,0.138872862,0.51230191
agility4j        ,0.09068178,0.44565792
agisim           ,-0.774141125,-0.161056155
aglets           ,0.009461303,0.682284584
agletsnet        ,0.006246054,0.679125075
aglf             ,-0.387366164,-0.447432387
agnet            ,0.142820101,0.568084679
agnustic         ,0.264881975,-0.161124746
agon             ,-0.43708232,-0.077805609
agora            ,-0.254962862,0.387172313
agora-framework  ,-0.197103141,0.26973251
agos             ,-0.203789776,-0.058510139
agranger         ,0.607449301,-0.089259425
agregalien       ,0.22703684,-0.35369001
agsession        ,0.097555308,0.242940644
agtk             ,-0.27398589,0.413859224
agtoys           ,-0.244458981,-0.085148916
agup             ,-0.426786821,-0.438665809
ahcentral        ,0.751196295,0.384050977
ahh              ,-0.249442718,-0.616229017
ahi4dwave        ,-0.157797063,-0.105742979
ahitk            ,-0.30255796,0.263970175
ahs              ,0.095461997,0.037557981
ahscs            ,-0.888965231,-0.174056226
ahttplib         ,-0.697421141,-0.171512314
